PassengerId,HomePlanet,CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0001_01,Europa,False,B/0/P,0.49367088607594933,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,False,True
0002_01,Earth,False,F/0/S,0.3037974683544304,False,0.0076080128428840646,0.0003018817294468856,0.0010641920653839604,0.024500178507675833,0.0018232296026188207,Juanna Vines,True,False,True
0003_01,Europa,False,A/0/S,0.7341772151898734,True,0.0030013261673762824,0.11994767383356253,0.0,0.2996697607997144,0.002030414784734596,Altark Susent,False,False,True
0003_02,Europa,False,A/0/S,0.4177215189873418,False,0.0,0.04303491765337269,0.015792610250297972,0.14856301320956802,0.007997348029668918,Solam Susent,False,False,True
0004_01,Earth,False,F/1/S,0.20253164556962025,False,0.021148879737558454,0.0023479690068091102,0.006427720074919121,0.025214209210996073,8.287407284631003e-05,Willy Santantines,True,False,True
0005_01,Earth,False,F/0/P,0.5569620253164557,False,0.0,0.01620098614698286,0.0,0.012986433416636916,0.0,Sandie Hinetthews,True,True,False
0006_01,Earth,False,F/2/S,0.3291139240506329,False,0.0029315278844140435,0.05162177573541744,0.00012770304784607525,0.0,0.0,Billex Jacostaffey,True,False,True
0006_02,Earth,True,G/0/S,0.35443037974683544,False,0.0,0.0,0.0,0.0,,Candra Jacostaffey,True,False,True
0007_01,Earth,False,F/3/S,0.4430379746835443,False,0.0,0.02633079529064502,0.0007236506044610931,0.009639414494823279,0.0,Andona Beston,True,False,True
0008_01,Europa,True,B/1/P,0.17721518987341772,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,False,False
0008_02,Europa,True,B/1/P,0.43037974683544306,False,0.0,0.0,,0.0,0.0,Altardr Flatic,True,False,True
0008_03,Europa,False,B/1/P,0.569620253164557,False,0.002722133035527326,0.24469191292389225,0.02507236506044611,0.004908961085326669,0.005138192516471222,Wezena Flatic,True,False,False
0009_01,Mars,False,F/1/P,0.4050632911392405,False,0.005095274656243457,0.0,0.0478035075770475,0.0,0.004682385115816517,Berers Barne,True,False,True
0010_01,Earth,False,G/1/S,0.6075949367088608,False,0.05018496544984993,3.3542414382987286e-05,0.0027668993699982974,0.0,0.0009944888741557204,Reney Baketton,False,False,True
0011_01,Earth,False,F/2/P,0.35443037974683544,False,0.000558386263697913,0.03267031160902962,0.000510812191384301,8.925383791503035e-05,0.0002900592549620851,Elle Bertsontry,True,False,True
0012_01,Earth,False,G/734/S,0.3924050632911392,False,0.002233545054791652,0.0,0.03728928997105398,0.0,0.0,Justie Pooles,False,False,True
0014_01,Mars,False,F/3/P,0.34177215189873417,False,0.08976059188943952,0.004092174554724449,,0.0,0.0,Flats Eccle,False,False,False
0015_01,Earth,False,F/4/P,0.3037974683544304,False,0.0,3.3542414382987286e-05,0.0,0.0,0.026395392201549746,Carry Hughriend,False,False,False
0016_01,Mars,True,F/5/P,0.569620253164557,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,False,True
0017_01,Earth,False,G/0/P,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,False,True
0017_02,Earth,False,F/6/P,0.17721518987341772,False,0.02875689258044252,0.0,4.256768261535842e-05,0.0,0.028135747731322255,Philda Brighttt,False,False,False
0020_01,Earth,True,E/0/S,0.012658227848101266,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,False,True
0020_02,Earth,True,E/0/S,0.620253164556962,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,False,False
0020_03,Earth,True,E/0/S,0.3670886075949367,False,0.0,0.0,,0.0,0.0,Mollen Mcfaddennon,False,False,False
0020_04,Earth,False,E/0/S,0.12658227848101267,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,False,True
0020_05,Earth,True,E/0/S,0.012658227848101266,False,,0.0,0.0,0.0,0.0,Mael Brantuarez,False,True,False
0020_06,Earth,False,E/0/S,0.08860759493670886,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,False,True
0022_01,Mars,False,D/0/P,0.26582278481012656,False,0.06840231730299434,6.708482876597457e-05,0.002937170100459731,0.0,0.0,,False,False,True
0024_01,Europa,True,C/2/S,0.7848101265822784,False,0.0,0.0,,0.0,0.0,Penton Fullided,True,False,True
0025_01,Earth,False,F/6/S,0.18987341772151897,False,0.0,0.00754704323617214,0.0,0.044537665119600146,0.0,Karard Brookenson,False,False,True
0026_01,Europa,False,C/0/P,0.43037974683544306,False,0.0015355622251692607,0.2037030825478818,0.0,0.06417350946090682,0.013591347946794846,Anyoni Unconary,False,False,False
0028_01,Mars,False,F/8/P,0.5443037974683544,False,0.07852306833251901,0.0,0.005789204835688745,0.0021420921099607284,0.0,Ceros Mare,False,False,True
0030_01,Earth,False,G/4/S,0.4050632911392405,False,0.0,0.028511052225539193,0.003447982291844032,0.01950196358443413,0.018770977499689222,Ginia Morsentley,False,False,True
0031_01,Mars,False,F/9/P,0.5949367088607594,False,0.014936832553919173,0.0,0.060063000170270726,0.0,0.05092611776405751,Coobix Datie,True,False,True
0031_02,Mars,False,F/9/P,0.02531645569620253,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,False,True
0031_03,Mars,False,F/9/P,0.25316455696202533,False,,0.0,0.07449344457687723,0.044180649767940026,0.0,Dontch Datie,True,False,True
0034_01,Europa,True,D/1/S,0.35443037974683544,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,False,False
0035_01,Mars,False,D/1/P,0.2911392405063291,False,0.054721853842395474,0.032334887465199746,0.0,0.04244019992859693,0.0,Luse Butte,False,False,False
0036_01,Earth,False,F/8/S,0.18987341772151897,,0.0,0.016502867876429746,0.002043248765537204,0.0008925383791503035,0.01661625160568516,Marina Leodger,False,False,False
0038_01,Earth,False,F/10/S,0.25316455696202533,False,0.03866824876108048,0.006540770804682521,0.0,0.11629775080328454,0.0,Loise Wheelez,False,False,False
0039_01,Earth,True,G/1/P,0.37974683544303794,False,0.0,0.0,,0.0,0.0,Jorgie Batthewitt,False,False,False
0041_01,Earth,True,G/2/P,0.21518987341772153,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,False,True
0043_01,Europa,False,B/3/P,0.569620253164557,False,0.0,0.005500955958809915,0.0019155457176911288,0.1120581935023206,0.03542866614179754,Ankalik Cylistrand,False,False,True
0044_01,Earth,True,G/3/P,0.6962025316455696,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,False,True
0044_02,Earth,True,G/3/P,0.05063291139240506,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,False,False
0044_03,Earth,True,G/3/P,0.26582278481012656,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,True,False
0045_01,Mars,False,F/10/P,0.26582278481012656,False,0.06770433447337196,0.0,0.007662182870764515,0.0,0.002651970331081921,Zelowl Chmad,False,False,True
0045_02,Mars,True,F/10/P,0.24050632911392406,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True,False,True
0050_01,Earth,False,E/1/S,0.4430379746835443,False,0.05514064354016891,0.0,0.0,,0.0,Sony Lancis,False,False,False
0051_01,Earth,False,E/2/S,0.7088607594936709,False,0.0,0.003756750410894576,0.0,0.061540521242413423,0.005262503625740687,Vivia Johnshines,False,False,True
0052_01,Earth,False,G/6/S,0.34177215189873417,False,0.0002791931318489565,0.0,8.513536523071684e-05,0.20898786147804357,0.0,Elaney Hubbarton,False,False,True
0053_01,Earth,False,F/11/S,0.31645569620253167,False,0.0,0.0,0.08249616890856461,0.0,4.1437036423155016e-05,Elson Hickerson,True,False,True
0056_01,Europa,False,A/1/S,0.02531645569620253,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,False,True
0056_02,Europa,True,A/1/S,0.4810126582278481,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,False,True
0056_03,Europa,False,A/1/S,0.34177215189873417,False,0.019473720946464716,0.020293160701707308,0.1436233611442193,0.01276329882184934,0.00012431110926946505,Zinoces Tractive,True,False,True
0058_01,Earth,True,G/7/S,0.45569620253164556,False,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False,True,False
0061_01,Earth,False,F/12/S,0.27848101265822783,False,0.003140922733300761,0.03676248616375406,0.006300017027073046,0.0614512674044984,4.1437036423155016e-05,Shanya Salez,False,False,True
0062_01,Earth,False,F/13/S,0.7848101265822784,False,0.0,0.019857109314728474,0.0,0.000758657622277758,0.0010359259105788754,Sterry Greeves,False,False,True
0064_01,Mars,True,F/14/S,0.18987341772151897,False,0.0,0.0,0.0,0.0,0.0,,True,False,True
0064_02,Earth,True,E/3/S,0.4177215189873418,False,0.0,0.0,,0.0,0.0,Colatz Keen,True,False,True
0066_01,Earth,False,G/6/P,0.7848101265822784,False,6.979828296223913e-05,0.005131989400597055,0.008385833475225608,0.0,0.019061036754651307,Diandy Pecketton,False,False,True
0067_01,Earth,True,G/10/S,0.0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True,True,False
0067_02,Earth,False,G/10/S,0.22784810126582278,False,6.979828296223913e-05,0.00865394291081072,0.018985186446449854,0.0,0.0,Celine Leeves,True,False,True
0067_03,Earth,False,F/15/S,0.26582278481012656,False,0.13582745864451734,0.0012410693321705296,0.0,0.0,0.0009944888741557204,Velyne Leeves,False,False,False
0068_01,Mars,False,E/4/S,0.34177215189873417,False,0.055350038389055625,0.0,8.513536523071684e-05,0.01129061049625134,0.0,Cinst Binie,False,False,True
0069_01,Earth,False,F/16/S,0.5316455696202531,False,0.06191107698750611,0.0,0.00038310914353822576,0.00026776151374509105,0.0,,True,False,True
0070_01,Earth,False,F/13/P,0.24050632911392406,False,0.013261673762825435,0.0,0.0002128384130767921,4.4626918957515175e-05,0.03008328844321054,Meremy Brighttt,False,False,True
0071_01,Earth,False,F/14/P,0.21518987341772153,False,0.001116772527395826,0.07261932713916748,0.0,0.0,0.002154725894004061,Nelly Dillines,False,False,True
0072_01,Earth,False,F/17/S,0.17721518987341772,False,0.0,3.3542414382987286e-05,0.0,0.0,0.04404756971781378,Thell Brantuarez,False,False,True
0073_01,Mars,False,D/3/P,0.46835443037974683,False,0.0032107210162629998,0.002784020393787945,0.03141494977013451,0.0,0.0004972444370778602,Gorn Make,False,True,False
0074_01,Europa,False,C/3/S,0.5316455696202531,False,6.979828296223913e-05,0.28165565357394423,0.0,0.0,0.020967140430116438,Aldibah Mostedry,True,False,True
0076_01,Mars,False,F/18/S,0.34177215189873417,False,0.010260347595449151,0.0,0.04333390090243487,0.0,0.0,Conk Dal,True,False,True
0077_01,Mars,False,F/15/P,0.35443037974683544,False,0.0009771759614713477,0.0,0.05512514898688915,0.0,0.0,Pon Blité,True,False,True
0078_01,Europa,False,C/4/S,0.4810126582278481,False,0.0,0.19588769999664576,0.0,0.014325240985362371,0.4000331496291385,Spuri Pokerheed,False,False,True
0081_01,Earth,True,G/13/S,0.16455696202531644,False,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,False,False,True
0082_01,Mars,False,F/16/P,0.5316455696202531,False,0.516926083618343,0.0,0.0,0.0,0.0,Totse Datte,False,False,True
0082_02,Mars,True,F/16/P,0.02531645569620253,False,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True,False,True
0082_03,Mars,False,F/16/P,0.10126582278481013,False,0.0,0.0,0.0,0.0,0.0,,True,False,True
0084_01,Earth,False,G/14/S,0.3037974683544304,False,0.04802121867802052,0.0,0.0,0.0,0.0007044296191936353,Coren Coopezmaney,True,False,True
0085_01,Europa,True,C/5/S,0.5063291139240507,False,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,True,False,True
0086_01,Earth,False,F/17/P,0.5443037974683544,False,0.014727437705032456,0.0,0.0,0.028471974294894682,0.021257199685078523,Jodye Kinson,False,False,True
0088_01,Mars,True,E/5/S,0.569620253164557,False,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,True,True,False
0090_01,Earth,True,G/15/S,0.4430379746835443,False,0.0,0.0,0.0,0.0,0.0,Heremy Santry,True,False,True
